Participants,France - Espagne,Angleterre - Hollande
Gilles,2-1,2-1
Gilles,1-0,1-0
Gilles,3-1,3-1
Lisa,1-0,1-0
Lisa,2-0,0-1
Lisa,0-0,2-1
Coco,2-1,2-1
Coco,1-1,1-1
Coco,0-0,0-1
Jean-Pierre,1-0,1-0
Jean-Pierre,1-1,1-1
Jean-Pierre,2-1,2-1
Albert,2-1,1-1
Albert,1-1,1-0
Albert,2-0,0-1
Jean-Yves,1-0,2-0
Jean-Yves,1-1,2-1
Jean-Yves,2-1,1-1
Irwin,1-2,0-1
Irwin,1-1,1-1
Irwin,3-1,1-2
Kevin,2-1,0-1
Kevin,1-0,1-2
Kevin,0-0,1-1
Brice,2-1,1-1
Brice,1-1,0-1
Brice,0-1,1-0
Pascal,2-0,0-0
Pascal,2-1,0-1
Pascal,1-1,1-0
Cedric,2-0,0-0
Cedric,3-0,0-0
Cedric,1-0,0-0
Cyril,2-0,0-0
Cyril,1-0,2-1
Cyril,3-1,0-1
Patrice,1-3,0-0
Patrice,1-1,1-0
Patrice,1-0,1-1
Jeremy,1-2,2-1
Jeremy,0-0,1-1
Jeremy,2-1,1-2
Claude,2-0,1-2
Claude,3-1,1-3
Claude,1-0,0-1
Pierrot,1-0,2-0
Pierrot,2-1,1-0
Pierrot,1-1,2-1
Guy,2-0,3-1
Guy,3-0,2-2
Guy,3-1,1-0
Dom,2-1,2-1
Dom,1-2,1-2
Dom,1-1,1-1
Pierrot,1-0,2-0
Pierrot,2-1,1-0
Pierrot,1-1,2-1
Didier,2-1,1-2
Didier,3-1,0-2
Didier,3-0,1-3
Serge,1-0,2-0
Serge,0-0,1-2
Serge,2-1,1-1
Claude,2-0,1-2
Claude,3-1,1-3
Claude,1-0,0-1
