Participants,All - Espagne,France - Portugal,Angl - Suisse,Holl - Turquie
Gilles,3-2,3-2,1-2,4-1
Gilles,2-2,1-0,1-1,3-0
Gilles,2-1,2-1,0-1,2-0
Lisa,1-0,1-1,2-1,2-0
Lisa,1-1,1-0,1-0,2-2
Lisa,3-1,0-1,0-0,1-0
Coco,2-3,2-1,1-2,2-1
Coco,1-1,1-1,1-1,1-1
Coco,1-2,1-0,2-1,1-0
Jean-Pierre,2-0,1-0,0-1,1-0
Jean-Pierre,1-0,2-0,0-2,2-1
Jean-Pierre,0-1,2-1,1-2,2-0
Albert,1-2,1-0,1-2,1-2
Albert,1-0,2-1,0-2,2-1
Albert,2-1,2-0,1-0,1-1
Jean-Yves,1-0,1-0,0-1,2-0
Jean-Yves,1-2,2-0,1-2,3-0
Jean-Yves,0-1,2-1,1-0,1-0
Irwin,2-1,1-0,1-2,2-0
Irwin,1-2,2-1,1-0,1-0
Irwin,1-1,1-2,2-0,3-1
Kevin,1-3,2-0,1-2,2-0
Kevin,2-1,3-0,2-0,2-0
Kevin,1-1,2-0,1-1,2-0
Brice,1-2,2-0,1-2,1-3
Brice,1-1,2-1,1-1,1-2
Brice,0-1,1-0,0-1,1-0
Pascal,0-1,2-0,1-1,1-0
Pascal,0-0,1-0,0-1,0-0
Pascal,1-0,2-1,0-2,1-1
Cedric,0-2,3-0,0-2,3-0
Cedric,0-3,2-0,0-1,2-0
Cedric,0-1,1-0,1-2,1-0
Cyril,0-2,2-0,1-1,1-0
Cyril,0-1,2-1,1-0,2-1
Cyril,1-2,1-0,3-0,0-1
Patrice,2-1,2-1,1-1,1-0
Patrice,2-2,2-0,2-1,2-0
Patrice,1-2,3-1,0-2,3-0
Jeremy,0-1,2-1,1-0,2-1
Jeremy,0-2,0-0,1-1,2-1
Jeremy,1-1,1-1,2-0,2-0
Louis,0-3,3-0,3-0,3-0
Louis,1-2,2-1,2-0,3-1
Louis,2-0,3-1,1-2,0-1
Claude,1-3,2-1,1-2,1-0
Claude,1-2,0-2,0-2,2-0
Claude,3-2,3-1,1-3,3-1
Pierrot,3-2,1-0,2-1,2-0
Pierrot,2-1,2-1,1-2,2-1
Pierrot,2-0,3-2,0-1,1-0
Guy,1-2,3-0,1-0,1-1
Guy,2-1,2-0,2-0,2-1
Guy,1-1,2-1,3-0,2-2
Florence,3-2,2-0,2-1,2-1
Florence,2-1,1-2,3-2,2-2
Florence,3-1,1-1,2-0,3-2
